campo,idx_treino,idx_teste,preds,y_test,mse,rmse,mae,mse_1,rmse_1,mae_1
ITAPU,"range(0, 59)","range(59, 74)","[0.04569845 0.04569845 0.04569845 0.04569845 0.04569845 0.04569845
 0.04569845 0.04569845 0.04569845 0.21641923 0.58648145 0.6539691
 0.7272343  0.74321806 0.7478184 ]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.2389131  0.69655628 0.63215321 0.68072907
 0.6787139  0.70147207 1.        ]",0.023670985707789038,0.15385378028436297,0.09692126619087135,0.0020883482424329802,0.04569844901561737,0.04569844901561737
ATAPU,"range(0, 71)","range(71, 89)","[1.1118522  1.1391473  1.0297408  0.9565155  1.0234349  0.8565079
 0.7092746  0.6166116  0.5715713  0.5428308  0.5332134  0.5382407
 0.5414457  0.53430665 0.5221113  0.536293   0.54693663 0.55853665]","[0.98473418 0.58439222 0.59413144 0.94356994 0.40918817 0.35176604
 0.35695076 0.37948441 0.3700975  0.37014782 0.37171688 0.36809157
 0.34075597 0.31191576 0.37795386 0.37895301 0.38652625 0.31493882]",0.0928914256071865,0.3047809469228457,0.2596253446107768,0.01615898388584227,0.1271179919832054,0.1271179919832054
MERO,"range(0, 47)","range(47, 59)","[0.16338742 0.14713107 0.14709449 0.14144984 0.16847041 0.18209124
 0.20005244 0.22626787 0.24017492 0.22830722 0.23272613 0.26210603]","[0.40588578 0.52457604 0.38086134 0.83344652 0.79863789 0.8830256
 1.         0.91649278 0.5782811  0.60097078 0.98139983 0.95206993]",0.3357732895572924,0.5794594805137736,0.5430323764930671,0.05880545798326047,0.24249836697029625,0.24249836697029625
ATLANTA,"range(0, 44)","range(44, 56)","[0.37462214 0.29176208 0.2667317  0.26714355 0.35052508 0.3767967
 0.39829382 0.4038111  0.37858102 0.35951048 0.45883277 0.354182  ]","[0.01088695 0.09926171 0.17313069 0.48063063 0.40544711 0.42239906
 0.40181087 0.30278771 0.28566559 0.66224939 0.09953552 0.13446925]",0.04305533248993048,0.2074977891205843,0.17025440118109583,0.13230328577890677,0.3637351863360304,0.3637351863360304
NOROESTE DE SAPINHOÁ,"range(0, 36)","range(36, 46)","[0.58801186 0.5664432  0.5440604  0.41939327 0.48433307 0.48609433
 0.48758984 0.54293615 0.5668271  0.59020793]","[0.42122022 0.39643163 0.         0.38224112 0.29014715 0.25415121
 0.39445255 0.36989636 0.39151978 0.39864126]",0.05516589579330442,0.23487421270395867,0.19771959086739996,0.027819453114999358,0.16679164581896588,0.16679164581896588
NORDESTE DE SAPINHOÁ,"range(0, 36)","range(36, 46)","[0.5624089  0.549126   0.53748226 0.45608997 0.47954485 0.46852648
 0.45676664 0.47525555 0.47973865 0.48857445]","[0.42158757 0.39677735 0.         0.38257422 0.29039952 0.25437202
 0.39479545 0.37021826 0.39186004 0.39898866]",0.04495921319527828,0.21203587714176644,0.1651940709643626,0.01983065281245912,0.14082135069817758,0.14082135069817758
SUDOESTE DE SAPINHOÁ,"range(0, 36)","range(36, 46)","[0.5385801  0.5218947  0.5072137  0.38916063 0.43475085 0.42914563
 0.41816473 0.44938254 0.4595896  0.47187173]","[0.42148289 0.3966789  0.         0.38247951 0.29032767 0.2543096
 0.39469853 0.37012673 0.39176376 0.39889027]",0.03548856238454758,0.18838408208908625,0.13189963983927427,0.013711760723376525,0.11709722765025876,0.11709722765025876
SUL DE TUPI,"range(0, 34)","range(34, 43)","[0.7307314  0.7412788  0.74058217 0.746268   0.7362803  0.7264968
 0.7423034  0.7471981  0.7501372 ]","[0.78813176 0.73805851 0.75958013 0.68785673 0.65962121 0.79099043
 0.7445496  0.75028113 0.68278646]",0.002407187194946406,0.04906309402133549,0.03909584388473651,0.003294798230889407,0.057400333020718675,0.057400333020718675
AnC_TUPI,"range(0, 32)","range(32, 41)","[0.3071484  0.3300413  0.3297457  0.34177125 0.32062566 0.29863456
 0.32784617 0.34454525 0.3511627 ]","[0.50818944 0.39195425 0.44191247 0.27542115 0.2098786  0.51482515
 0.40702207 0.42032706 0.26365107]",0.015545300987105624,0.12468079638463024,0.11231976197268444,0.04041750120035704,0.2010410435715977,0.2010410435715977
TAMBUATÁ,"range(0, 28)","range(28, 35)",[0.82476   0.7981449 0.8327058 0.8192215 0.7666308 0.7903834 0.7802194],"[0.66275808 0.89641332 0.78856056 0.60106794 0.82658766 0.7630499
 0.96905958]",0.017920522123962754,0.13386755441092796,0.11409995710218597,0.026244628224519045,0.16200193895296144,0.16200193895296144
